,english,french,translation
0,"Cohesion Policy in Support of Growth and Jobs: Community Strategic Guidelines, 2007-2013 EMPL/6/32476 Draftsperson:","Politique de cohésion pour soutenir la croissance et l’emploi: orientations stratégiques communautaires, 2007-2013 EMPL/6/32476 Rapporteur pour avis:","	Cohésion sociale et travail: directives stratégiques communautaires, 2007-2013 EMPL/6/32476 Rapporteur: ## German: Sozialer Zusammenhalt und Arbeit: Strategische Richtlinien der Gemeinschaft, 2007-2013 EMPL/6/32476 Vorwort: ## Spanish: Cohesión social y trabajo: directrices estratégicas comunitarias, 20"
1,Minimising administrative costs imposed by legislation EMPL/6/29246 2005/2140(INI) Draftsperson:,Amendements caducs: Amendements retirés:,2005/2140(INI) ## German: 2005/2140(INI) ## Spanish: 2005/2140(INI) ## Dutch: 2005/2140(INI) ## Italian: 2005/2140(INI) ## Maltese: 2005/2140
2,Ilda Figueiredo - Consideration of a draft opinion - Deadline for tabling amendments: 8.03.2006 12:00 PA - PE 367.759v01-00 PA - PE 362.672v01-00 AM - PE362.808v01-00 AM - PE367.845v01-00,"Ole Christensen - Délai de dépôt des amendements: 20 octobre 2005, à midi - Mise aux voix et adoption d’un projet d’avis Amendements adoptés: Amendements rejetés:","2006/03/07 12:00 PM - PE 367.759v01-00 PM - PE 362.672v01-00 AM - PE362.808v01-00 AM - PE367.845v01-00
# French: 2006/03/07 12:00 PM - PE 367.759v01-00 PM - PE 362.672v01-00 AM - PE362.808v01-00 AM - PE367.845v01-00
1.1.1. The Commission has received the opinion of the Committee of the Regions, which has been published for information.
1.1.2. The Commission has received the opinion of the Economic and Social Committee, which has been published for information.
1."
3,Dimitrios Papadimoulis PE 369.905v01-00 4/9,Ilda Figueiredo - Examen d’un projet d’avis PE 369.905v01-00 4/10,369.905v01-00 4/9 ## German: 369.905v01-00 4/9 ## Italian: 369.905v01-00 4/9 ## Spanish: 369.905v0
4,"Bernard Lehideux, Elizabeth Lynne, Gabriele Zimmer, Jean Lambert, José Albino Silva Peneda, Marie Panayotopoulos-Cassiotou, Joel Hasse Ferreira, Jean Pierre Bou (Commission), Ona Juknevičienė The meeting closed at 11.30.","Dimitrios Papadimoulis, Jean Lambert, Jan Andersson, Jacek Protasiewicz, Elizabeth Lynne, Jamila Madeira, Marie Panayotopoulos-Cassiotou 12. Développement et migration EMPL/6/32446 COM(2005)0390 - 2005/2244(INI) Rapporteur pour avis:","1. Les membres du groupe de travail se sont réunis le 18 janvier 2012 à la Commission européenne, à Bruxelles, dans la salle des Conseils, 3e étage, bâtiment Jean Monnet. 2. Les membres du groupe de travail étaient les suivants : Bernard Lehideux, Marie Panayotopoulos-Cassiotou, José Albino Silva Peneda, Jean Lambert, Jean Pierre Bou, Gabriele Zimmer, Ona Juknevičienė, Elizabeth Lynne, Joel Hasse Ferreira, Jean-Paul Besset, Christophe Rouillon, Marie Panayotopoulos-Cassiotou, José José José José José José José José José José José José José"
5,"Thus, the object itself rather than its real image is directly responsible for the rainbow hologram formation making the imaging lens unnecessary. A converging or a diverging spherical wave is used to illuminate the object transparency backed by a ground glass.","Par conséquent, l'objet, une diapositive accolée à un diffuseur, est éclairé par un faisceau convergent ou divergent rendant ainsi inutile l'utilisation d'une lentille pour en former une image réelle.","1. La prismatique du prisme, et de la lentille, est remplacée par la prismatique de l'objet lui-même. La lentille, ou la lentille, n'est plus nécessaire. 2. Le prisme, et la lentille, sont remplacés par l'objet lui-même. La lentille, ou la lentille, n'est plus nécessaire. 3. La prismatique du prisme, et de la lentille, est remplacée par la prismatique de l'objet lui"
6,THE USE OF ITC FOR ROAD SAFETY • i2010:,• Informations complémentaires concernant le commerce électronique et la fiscalité EMPLOI DES TIC POUR LA SÉCURITÉ ROUTIÈRE,"1. THE USE OF ITC FOR ROAD SAFETY • i2010: ##

**English: THE USE OF ITC FOR ROAD SAFETY • i2010: ##**

### French:"
7,• Electronic payment: Code of conduct,• Paiement électronique: code de bonne conduite, • Code de déontologie de la paiement électronique ## Spanish:  • Código de Deontología del Pago Electrónico
8,• Sixth Framework Programme: Information Society Technologies ENLARGEMENT Applicant countries and the Community acquis,• Sixième Programme-cadre de Recherche: programme Technologies pour la société de l'information (2002-2006) ÉLARGISSEMENT Pays candidats à l'adhésion et acquis communautaire, * Sixième Programme-cadre de la Communauté européenne de l'information et des technologies de l'information: ENLARGEMENT Pays candidats et acquis communautaire ## German:  * Sechste Rahmenprogramm der Gemeinschaft für Information und Kommunikationstechnologien:
9,"Is it due to commonly identified barriers such as time and costs? Or to past negative experiences of learning, a lack of suitable training options, or a belief that training will not provide adequate returns?","Est-ce à cause des obstacles le plus souvent mentionnés, comme le manque de temps et le coût, ou à de mauvaises expériences passées, à un manque d'options acceptables en matière d'activités de formation ou à la conviction que la formation n'entraînera pas d'avantages marqués.","Êtes-vous d’accord que les principaux obstacles à l’apprentissage sont les temps et les coûts? Ou à des expériences négatives du passé de l’apprentissage, un manque de possibilités d’apprentissage approprié, ou une croyance que l’apprentissage ne fournit pas de retour suffisant? ## Spanish: ¿Está de acuerdo que los"
10,"Council Decision 95/133/EC: OJ L 89, 21.4.1995; Bull.",Reconduction précédente: décision 95/133/CE du Conseil - JO L 89 du 21.4.1995 et Bull.,"233/95: OJ L 154, 22.6.1995; Bull. ## German: 1995: OJ L 154, 22.6.1995; Bull. ## Spanish: 1995: OJ L 154, 22.6.1"
11,"The course is one of three career courses (all given at CFSATE) necessary for advancement within the Imagery Technician occupation.  Consisting of 10 training days, it is designed to provide the required tools to prepare Image Techs at the Master Corporal/Sergeant level to administer and operate a Wing or Base Imaging Section. The Pilot course wrapped up with the graduation of twelve students.","Ce cours est un des trois cours (tous donnés à l'ETGAFC) qui sont nécessaires à la progression au sein du métier de technicien/technicienne en imagerie.  D'une durée de 10 jours, le cours est conçu pour fournir aux techniciens en imagerie (grade de caporal-chef et sergent) les outils nécessaires à l'administration et à l'opération d'une section d'imagerie de la base ou de l'escadre.","10 jours de formation pour les MCS/Sgt et les SSgt/Sgt.  Ce cours est la première partie d’une série de trois cours pour les techniciens de l’image.  Ce cours a été mis en place pour répondre aux besoins des Imagery Technicians qui ont besoin de connaitre les processus et les outils de production et de gestion de l’image.  Ce cours est un outil pour les MCS/Sgt et les SSgt/Sgt pour apprendre à gérer et à produire des images.

### English: This course is one of three career courses (all given at CFSATE) necessary for advancement within the Imagery Technician occupation.  Consisting of 10 training days, it is designed to provide the required tools to prepare Image Techs at the Master Corporal/"
12,"The design of the course provides for two Performance Objectives (P.O.): P.O. 401, Manage Imaging Services and P.O. 402, Manage Imaging Resources.  The first week’s training encompassed such topics as Imaging Management Information, Imaging Workflow, Product Quality Control, Customer Service Techniques, organizations, and Financial responsibility.","Le cours pilote, qui s'est terminé avec une remise de diplômes pour 12 stagiaires, comprenait deux objectifs de rendement (OREN): l'OREN 401, Gestion de services d'imagerie, et l'OREN 402, Gestion de ressources d'imagerie.  La première semaine d'instruction comprend des sujets tels que la gestion de services d'imagerie, acheminement du travail, contrôle de la qualité du produit, techniques de service à la clientèle, et responsabilité financière.","401, Gestion des services de l’image et 402, Gestion des ressources d’image.  La première semaine de formation a inclus les sujets suivants : Information sur la gestion de l’image, flux de travail, contrôle de qualité des produits, techniques de service aux clients, organisation et responsabilité financière.

### English: The design of the course provides for two Performance Objectives (P.O.): P.O. 401, Manage Imaging Services and P.O. 402, Manage Imaging Resources.  The first week’s training encompassed such topics as Imaging Management Information, Imaging Workflow, Product Quality Control, Customer Service Techniques, organizations and Financial responsibility. ## French: 401, Gestion des services de l’image et 402"
13,"Feedback from the students was extremely positive and many stated the course was long overdue and necessary in the performance of their everyday work.  Sgt Éric Jolin, an Image Tech serving with the Governor General’s Office in Ottawa was recognized as the top student.  COURSE PHOTO  1st row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); MCpl Lou Penney. 2nd row:","Plusieurs d'entre eux ont affirmé que le contenu de ce cours est absolument nécessaire à l'accomplissement de leurs tâches journalières.  Le Sgt Éric Jolin, un technicien en imagerie au service du Cabinet de la Gouverneure générale à Ottawa, s'est mérité le titre de meilleur stagiaire.  PHOTO DU COURS  Au 1er rang: le Sgt Ron Hartlen; Adj Guy Tardif (superviseur du cours et instructeur); Sgt Randy Rice (instructeur); Cplc Lou Penney. Au 2e rang:",1st row; Sgt Éric Jolin (top student); Sgt Randy Rice (Instructor/instructeur); Sgt Ron Hartlen; MCpl Lou Penney.  ENGLISH: 1st row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); Sgt Éric Jolin (top student). 2nd row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); Sgt Éric Jolin (top student); MCpl Lou Penney.  FRENCH: 1st row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); Sgt Éric Jolin (top student). 2nd row: Sgt Ron Hartlen; WO Guy Tardif (Course Director & Instructor); Sgt Randy Rice (Instructor/instructeur); Sgt Éric Jolin
14,"THE SENATE Tuesday, February 6, 2007 The Senate met at 2 p.m., the Speaker pro tempore in the chair.",[Traduction] les changements climatiques sont « un complot socialiste visant a ` siphonner de l’argent aux pays producteurs de richesse ». Nous esperons que son opinion a change.,"5.02.2007 Le Sénat s'est réuni à 14h, le président du Sénat présidant. ##

### French: 5.02.2007

1. Le Sénateur, M. J. L. DUHAMEL, a présenté le projet de résolution suivant, qui a été adressé"
