,english,french,translation
0,"Cohesion Policy in Support of Growth and Jobs: Community Strategic Guidelines, 2007-2013 EMPL/6/32476 Draftsperson:","Politique de cohésion pour soutenir la croissance et l’emploi: orientations stratégiques communautaires, 2007-2013 EMPL/6/32476 Rapporteur pour avis:",2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0059(CNS) 2007/0
1,Minimising administrative costs imposed by legislation EMPL/6/29246 2005/2140(INI) Draftsperson:,Amendements caducs: Amendements retirés:,"2005/2140(INI) Draftsperson: MORGAN (2005/2140(INI))
MORGAN (2005/2140(INI))
MINIMISING ADMINISTRATIVE COSTS IMPOSED BY LEGISLATION
MORGAN (2005/2140(INI))
"
2,Ilda Figueiredo - Consideration of a draft opinion - Deadline for tabling amendments: 8.03.2006 12:00 PA - PE 367.759v01-00 PA - PE 362.672v01-00 AM - PE362.808v01-00 AM - PE367.845v01-00,"Ole Christensen - Délai de dépôt des amendements: 20 octobre 2005, à midi - Mise aux voix et adoption d’un projet d’avis Amendements adoptés: Amendements rejetés:","2006/2559(CU) : Committee on Constitutional Affairs : Committee on Civil Liberties, Justice, Home Affairs, and Human Rights : Draft Opinion of the European Data Protection Supervisor on the Proposal for a Council Regulation on the European Police Office (Europol): first reading : COM(2005) 600 final : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/2559(CU) : 2006/"
3,Dimitrios Papadimoulis PE 369.905v01-00 4/9,Ilda Figueiredo - Examen d’un projet d’avis PE 369.905v01-00 4/10,"2017/10/12
[EN] - Translate: Dimitrios Papadimoulis PE 369.905v01-00 4/9 : 2017/10/12
[EN] - Translate: Dimitrios Papadimoulis PE"
4,"Bernard Lehideux, Elizabeth Lynne, Gabriele Zimmer, Jean Lambert, José Albino Silva Peneda, Marie Panayotopoulos-Cassiotou, Joel Hasse Ferreira, Jean Pierre Bou (Commission), Ona Juknevičienė The meeting closed at 11.30.","Dimitrios Papadimoulis, Jean Lambert, Jan Andersson, Jacek Protasiewicz, Elizabeth Lynne, Jamila Madeira, Marie Panayotopoulos-Cassiotou 12. Développement et migration EMPL/6/32446 COM(2005)0390 - 2005/2244(INI) Rapporteur pour avis:","1. The Rapporteur for the Opinion, Ms Panayotopoulos-Cassiotou, introduced the draft opinion. The rapporteur presented the draft opinion and the key elements of the proposal. 2. Ms Panayotopoulos-Cassiotou invited the delegations to express their views on the draft opinion. 3. Ms Panayotopoulos-Cassiotou invited the rapporteur to respond to the questions and comments raised by the delegations. 4. Ms Panayotopoulos-Cassiotou invited the delegations to vote on the draft opinion. 5. The draft opinion was adopted by 28 votes in favour, 1 against and 0 abstentions. 6. The R"
5,"Thus, the object itself rather than its real image is directly responsible for the rainbow hologram formation making the imaging lens unnecessary. A converging or a diverging spherical wave is used to illuminate the object transparency backed by a ground glass.","Par conséquent, l'objet, une diapositive accolée à un diffuseur, est éclairé par un faisceau convergent ou divergent rendant ainsi inutile l'utilisation d'une lentille pour en former une image réelle.","25/09/2018 - 12:18 L'auteur a bien raison, les images holographiques sont difficiles à réaliser en 3D.
[FR] - Translate: Thus, the object itself rather than its real image is directly responsible for the rainbow hologram formation making the imaging lens unnecessary. A converging or a diverging spherical wave is used to illuminate the object transparency backed by a ground glass.
: 25/09/2018 - 12:18 L'auteur a"
6,THE USE OF ITC FOR ROAD SAFETY • i2010:,• Informations complémentaires concernant le commerce électronique et la fiscalité EMPLOI DES TIC POUR LA SÉCURITÉ ROUTIÈRE,"2010 International Conference on Information Technologies : 2010
The use of ITC for road safety
The use of ITC for road safety: the example of the French national ITS program
The use of ITC for road safety is a major challenge for the next"
7,• Electronic payment: Code of conduct,• Paiement électronique: code de bonne conduite,"101

[EN] - Translate: • Electronic payment: Code of conduct : 101

[EN] - Translate: • Electron"
8,• Sixth Framework Programme: Information Society Technologies ENLARGEMENT Applicant countries and the Community acquis,• Sixième Programme-cadre de Recherche: programme Technologies pour la société de l'information (2002-2006) ÉLARGISSEMENT Pays candidats à l'adhésion et acquis communautaire,"1999-2000 - 2001-2002
ENLARGEMENT Applicant countries and the Community acquis : 1999-2000 - 2001-2002
This document is a translation of the original document ""ENL"
9,"Is it due to commonly identified barriers such as time and costs? Or to past negative experiences of learning, a lack of suitable training options, or a belief that training will not provide adequate returns?","Est-ce à cause des obstacles le plus souvent mentionnés, comme le manque de temps et le coût, ou à de mauvaises expériences passées, à un manque d'options acceptables en matière d'activités de formation ou à la conviction que la formation n'entraînera pas d'avantages marqués.","2017-09-29
A) The survey was conducted online by independent research company Ipsos MORI between 24 May and 11 June 2017. The survey was completed by 1,000 adults in the UK. Data has been weighted to the profile of all adults (aged 18+) in Great Britain.
B) The survey was conducted online by independent research company Ipsos MORI between 2"
