"Step","solar-firebrand-9 - train/loss","solar-firebrand-9 - train/loss__MIN","solar-firebrand-9 - train/loss__MAX"
"0","2.1496","2.1496","2.1496"
"1","2.3375","2.3375","2.3375"
"2","2.6328","2.6328","2.6328"
"3","2.3913","2.3913","2.3913"
"4","2.114","2.114","2.114"
"5","2.6365","2.6365","2.6365"
"6","2.2967","2.2967","2.2967"
"7","2.0828","2.0828","2.0828"
"8","2.7197","2.7197","2.7197"
"9","2.1311","2.1311","2.1311"
"10","2.9744","2.9744","2.9744"
"11","2.3034","2.3034","2.3034"
"12","2.5178","2.5178","2.5178"
"13","2.5249","2.5249","2.5249"
"14","2.3162","2.3162","2.3162"
"15","2.2253","2.2253","2.2253"
"16","2.1831","2.1831","2.1831"
"17","2.2411","2.2411","2.2411"
"18","2.4141","2.4141","2.4141"
"19","2.3432","2.3432","2.3432"
"20","3.4288","3.4288","3.4288"
"21","2.0831","2.0831","2.0831"
"22","2.0412","2.0412","2.0412"
"23","2.6471","2.6471","2.6471"
"24","1.9802","1.9802","1.9802"
"25","2.2895","2.2895","2.2895"
"26","1.9094","1.9094","1.9094"
"27","2.2632","2.2632","2.2632"
"28","2.4139","2.4139","2.4139"
"29","2.6483","2.6483","2.6483"
"30","1.9886","1.9886","1.9886"
"31","2.1623","2.1623","2.1623"
"32","1.9701","1.9701","1.9701"
"33","2.1813","2.1813","2.1813"
"34","2.0715","2.0715","2.0715"
"35","2.3664","2.3664","2.3664"
"36","2.213","2.213","2.213"
"37","2.4817","2.4817","2.4817"
"38","1.9428","1.9428","1.9428"
"39","2.6533","2.6533","2.6533"
"40","2.1534","2.1534","2.1534"
"41","2.0398","2.0398","2.0398"
"42","2.4415","2.4415","2.4415"
"43","2.3091","2.3091","2.3091"
"44","2.2087","2.2087","2.2087"
"45","2.2841","2.2841","2.2841"
"46","1.8255","1.8255","1.8255"
"47","1.79","1.79","1.79"
"48","2.1723","2.1723","2.1723"
"49","2.5911","2.5911","2.5911"
"50","2.3261","2.3261","2.3261"
"51","2.1139","2.1139","2.1139"
"52","2.1811","2.1811","2.1811"
"53","2.0701","2.0701","2.0701"
"54","1.9105","1.9105","1.9105"
"55","2.0256","2.0256","2.0256"
"56","2.1676","2.1676","2.1676"
"57","1.9287","1.9287","1.9287"
"58","2.2026","2.2026","2.2026"
"59","1.755","1.755","1.755"
