"Step","stellar-cloud-1 - train/loss","stellar-cloud-1 - train/loss__MIN","stellar-cloud-1 - train/loss__MAX"
"0","2.176","2.176","2.176"
"1","2.3729","2.3729","2.3729"
"2","2.4222","2.4222","2.4222"
"3","2.7428","2.7428","2.7428"
"4","2.9112","2.9112","2.9112"
"5","2.018","2.018","2.018"
"6","2.0374","2.0374","2.0374"
"7","2.5531","2.5531","2.5531"
"8","2.8763","2.8763","2.8763"
"9","2.1983","2.1983","2.1983"
"10","2.6612","2.6612","2.6612"
"11","2.0689","2.0689","2.0689"
"12","2.9709","2.9709","2.9709"
"13","2.5649","2.5649","2.5649"
"14","2.0714","2.0714","2.0714"
"15","3.5339","3.5339","3.5339"
"16","3.261","3.261","3.261"
"17","2.0239","2.0239","2.0239"
"18","2.3195","2.3195","2.3195"
"19","2.6595","2.6595","2.6595"
"20","3.0687","3.0687","3.0687"
"21","2.6074","2.6074","2.6074"
"22","2.1545","2.1545","2.1545"
"23","2.4651","2.4651","2.4651"
"24","2.0406","2.0406","2.0406"
"25","2.7118","2.7118","2.7118"
"26","2.1064","2.1064","2.1064"
"27","2.8949","2.8949","2.8949"
"28","2.3401","2.3401","2.3401"
"29","2.3548","2.3548","2.3548"
"30","4.6112","4.6112","4.6112"
"31","2.5439","2.5439","2.5439"
"32","1.9768","1.9768","1.9768"
"33","1.9016","1.9016","1.9016"
"34","2.575","2.575","2.575"
"35","2.6862","2.6862","2.6862"
"36","1.9771","1.9771","1.9771"
"37","2.147","2.147","2.147"
"38","2.4385","2.4385","2.4385"
"39","2.2361","2.2361","2.2361"
"40","2.3535","2.3535","2.3535"
"41","1.9858","1.9858","1.9858"
"42","2.5937","2.5937","2.5937"
"43","2.7477","2.7477","2.7477"
"44","2.4508","2.4508","2.4508"
"45","1.914","1.914","1.914"
"46","2.5691","2.5691","2.5691"
"47","1.959","1.959","1.959"
"48","1.9655","1.9655","1.9655"
"49","1.8772","1.8772","1.8772"
"50","2.5495","2.5495","2.5495"
"51","2.1622","2.1622","2.1622"
"52","1.94","1.94","1.94"
"53","2.7197","2.7197","2.7197"
"54","1.786","1.786","1.786"
"55","2.5514","2.5514","2.5514"
"56","2.8623","2.8623","2.8623"
"57","2.0683","2.0683","2.0683"
"58","2.2787","2.2787","2.2787"
"59","2.4719","2.4719","2.4719"
"60","2.3139","2.3139","2.3139"
"61","2.1931","2.1931","2.1931"
"62","2.1338","2.1338","2.1338"
"63","2.6665","2.6665","2.6665"
"64","2.0927","2.0927","2.0927"
"65","3.0185","3.0185","3.0185"
"66","2.3341","2.3341","2.3341"
"67","1.9686","1.9686","1.9686"
"68","2.576","2.576","2.576"
"69","1.7913","1.7913","1.7913"
"70","1.7267","1.7267","1.7267"
"71","1.8273","1.8273","1.8273"
"72","1.9458","1.9458","1.9458"
"73","2.3361","2.3361","2.3361"
"74","2.7605","2.7605","2.7605"
"75","2.1373","2.1373","2.1373"
"76","2.1782","2.1782","2.1782"
"77","2.397","2.397","2.397"
"78","2.1849","2.1849","2.1849"
"79","2.4458","2.4458","2.4458"
"80","1.8627","1.8627","1.8627"
"81","2.0365","2.0365","2.0365"
"82","2.089","2.089","2.089"
"83","1.8753","1.8753","1.8753"
"84","1.9591","1.9591","1.9591"
"85","2.7368","2.7368","2.7368"
"86","1.6275","1.6275","1.6275"
"87","2.1708","2.1708","2.1708"
"88","1.9305","1.9305","1.9305"
"89","1.9403","1.9403","1.9403"
"90","1.9135","1.9135","1.9135"
"91","2.0969","2.0969","2.0969"
"92","1.7438","1.7438","1.7438"
"93","2.076","2.076","2.076"
"94","2.0609","2.0609","2.0609"
"95","1.8002","1.8002","1.8002"
"96","2.1495","2.1495","2.1495"
"97","1.4295","1.4295","1.4295"
"98","2.3696","2.3696","2.3696"
"99","2.1248","2.1248","2.1248"
"100","2.5523","2.5523","2.5523"
"101","2.1954","2.1954","2.1954"
"102","2.0397","2.0397","2.0397"
"103","1.818","1.818","1.818"
"104","1.9402","1.9402","1.9402"
"105","2.1646","2.1646","2.1646"
"106","1.8922","1.8922","1.8922"
"107","1.7707","1.7707","1.7707"
"108","2.4983","2.4983","2.4983"
"109","1.945","1.945","1.945"
"110","2.0067","2.0067","2.0067"
"111","2.1121","2.1121","2.1121"
"112","1.5825","1.5825","1.5825"
"113","2.0922","2.0922","2.0922"
"114","2.0397","2.0397","2.0397"
"115","2.057","2.057","2.057"
"116","1.8085","1.8085","1.8085"
"117","1.7739","1.7739","1.7739"
"118","2.0504","2.0504","2.0504"
"119","2.2234","2.2234","2.2234"
"120","2.0257","2.0257","2.0257"
"121","1.8564","1.8564","1.8564"
"122","2.2092","2.2092","2.2092"
"123","2.0366","2.0366","2.0366"
"124","2.0831","2.0831","2.0831"
"125","1.5647","1.5647","1.5647"
"126","1.9095","1.9095","1.9095"
"127","1.947","1.947","1.947"
"128","2.1179","2.1179","2.1179"
"129","1.8602","1.8602","1.8602"
"130","1.311","1.311","1.311"
"131","1.7399","1.7399","1.7399"
"132","1.9371","1.9371","1.9371"
"133","2.3074","2.3074","2.3074"
"134","1.926","1.926","1.926"
"135","2.0822","2.0822","2.0822"
"136","2.2127","2.2127","2.2127"
"137","1.3503","1.3503","1.3503"
"138","2.1434","2.1434","2.1434"
"139","1.8317","1.8317","1.8317"
"140","2.1506","2.1506","2.1506"
"141","1.9619","1.9619","1.9619"
"142","1.8248","1.8248","1.8248"
"143","2.046","2.046","2.046"
"144","3.0392","3.0392","3.0392"
"145","1.8504","1.8504","1.8504"
"146","1.9845","1.9845","1.9845"
"147","1.9637","1.9637","1.9637"
"148","1.6683","1.6683","1.6683"
"149","1.6476","1.6476","1.6476"
"150","2.0884","2.0884","2.0884"
"151","2.1176","2.1176","2.1176"
"152","2.2492","2.2492","2.2492"
"153","1.7556","1.7556","1.7556"
"154","1.7291","1.7291","1.7291"
"155","1.9661","1.9661","1.9661"
"156","1.5764","1.5764","1.5764"
"157","1.6864","1.6864","1.6864"
"158","1.879","1.879","1.879"
"159","1.6322","1.6322","1.6322"
"160","2.0507","2.0507","2.0507"
"161","1.8991","1.8991","1.8991"
"162","1.517","1.517","1.517"
"163","1.545","1.545","1.545"
"164","1.7559","1.7559","1.7559"
"165","1.9889","1.9889","1.9889"
"166","1.5725","1.5725","1.5725"
"167","1.5568","1.5568","1.5568"
"168","1.9005","1.9005","1.9005"
"169","1.6456","1.6456","1.6456"
"170","1.7411","1.7411","1.7411"
"171","1.8391","1.8391","1.8391"
"172","1.536","1.536","1.536"
"173","1.3971","1.3971","1.3971"
"174","2.0171","2.0171","2.0171"
"175","2.3519","2.3519","2.3519"
"176","1.7731","1.7731","1.7731"
"177","1.5606","1.5606","1.5606"
"178","1.6259","1.6259","1.6259"
"179","2.1851","2.1851","2.1851"
"180","2.2211","2.2211","2.2211"
"181","1.6987","1.6987","1.6987"
"182","1.5523","1.5523","1.5523"
"183","1.7374","1.7374","1.7374"
"184","1.3795","1.3795","1.3795"
"185","1.5977","1.5977","1.5977"
"186","1.6959","1.6959","1.6959"
"187","1.6068","1.6068","1.6068"
"188","1.9451","1.9451","1.9451"
"189","1.4847","1.4847","1.4847"
"190","1.3517","1.3517","1.3517"
"191","1.4072","1.4072","1.4072"
"192","2.4435","2.4435","2.4435"
"193","1.7325","1.7325","1.7325"
"194","1.9191","1.9191","1.9191"
"195","1.409","1.409","1.409"
"196","1.683","1.683","1.683"
"197","1.5386","1.5386","1.5386"
"198","1.6797","1.6797","1.6797"
"199","2.1958","2.1958","2.1958"
"200","1.7487","1.7487","1.7487"
"201","1.5161","1.5161","1.5161"
"202","2.1003","2.1003","2.1003"
"203","1.8617","1.8617","1.8617"
"204","1.9076","1.9076","1.9076"
"205","2.2896","2.2896","2.2896"
"206","1.5368","1.5368","1.5368"
