Wall time,Step,Value
1701927690.681639,172,6.6092047691345215
1701927703.3120685,244,6.322789192199707
1701927741.9303594,465,5.609943389892578
1701927757.8629978,556,5.712276458740234
1701927776.2959917,658,5.32833194732666
1701927802.0998874,804,5.213294506072998
1701927841.8733783,1026,5.144250869750977
1701927860.9683995,1132,4.80442476272583
1701927870.978608,1184,4.704455852508545
1701927919.621005,1458,5.039162635803223
1701927926.0486877,1494,4.659903049468994
1701927929.1878004,1510,4.689674377441406
1701927935.7265353,1548,5.330014705657959
1701927938.9832509,1565,4.763153553009033
1701928006.4349284,1940,4.48175573348999
1701928009.9706755,1960,4.544893741607666
1701928107.1765108,2503,3.999528646469116
1701928120.5872283,2577,3.8227458000183105
1701928141.603984,2693,3.8470256328582764
1701928145.7604148,2717,4.0684733390808105
1701928212.3187416,3083,3.6697936058044434
1701928241.0457737,3241,3.4146294593811035
1701928245.2476804,3265,4.701969146728516
1701928300.4578197,3566,4.630953311920166
1701928316.177695,3654,2.849802017211914
1701928382.9260566,4023,3.476351022720337
1701928398.3154888,4109,3.212169647216797
1701928400.3534918,4121,2.964082956314087
1701928410.5523255,4181,3.466780185699463
1701928437.0069156,4328,3.7309694290161133
1701928479.491888,4564,3.021559238433838
1701928572.6770015,5090,3.79333233833313
1701928590.0636666,5187,3.3704824447631836
1701928604.3941073,5262,2.1871187686920166
1701928610.277539,5295,4.092893600463867
1701928622.1240978,5362,2.4938907623291016
1701928638.1523395,5454,2.804474353790283
1701928676.4197626,5667,4.1872782707214355
1701928705.0619895,5832,2.5306506156921387
1701928711.0208127,5866,3.312680244445801
1701928731.3374398,5981,2.872316837310791
1701928734.049387,5997,2.566636562347412
1701928745.553296,6053,2.6333658695220947
1701928777.0834084,6225,2.607581377029419
1701928786.8686812,6279,3.263468027114868
1701928796.9206476,6334,2.2114200592041016
1701928803.1748867,6369,2.05651593208313
1701928839.111655,6569,2.50374698638916
1701928868.2259934,6730,2.855570077896118
1701928871.6754405,6750,2.453165054321289
1701928890.0224967,6850,1.9517771005630493
1701928902.2439356,6919,2.1725070476531982
1701928915.0111253,6991,2.600343704223633
1701928963.663768,7253,3.301194190979004
1701928997.7068853,7436,4.038802623748779
1701929002.828782,7464,3.0043458938598633
1701929035.7418644,7644,2.1820900440216064
1701929051.2665133,7730,2.687431812286377
1701929097.3267927,7986,2.628201961517334
1701929122.8294559,8122,3.779144287109375
1701929153.5660288,8291,2.3975226879119873
1701929199.7971442,8548,2.4629340171813965
1701929200.9383357,8554,2.087517023086548
1701929212.5265243,8618,2.200744152069092
1701929219.8367896,8659,2.6815288066864014
1701929226.149825,8694,2.3953816890716553
1701929232.15907,8724,2.316838026046753
1701929237.1755583,8752,2.183049440383911
1701929241.6567202,8776,2.3234591484069824
1701929242.017788,8778,2.677582025527954
1701929310.5271373,9152,2.244499683380127
1701929329.563802,9252,2.6201212406158447
1701929336.3679419,9291,3.4854214191436768
1701929342.8289654,9327,2.7328298091888428
1701929348.4822788,9359,2.878260374069214
1701929412.1334286,9712,2.2741148471832275
1701929419.7404826,9753,2.285001039505005
1701929435.3042316,9837,2.6119818687438965
1701929445.5437489,9894,2.6571388244628906
1701929449.728069,9917,2.0521223545074463
1701929455.443114,9949,2.418588876724243
1701929460.97569,9979,2.239602565765381
